param_name,车型1_18.99,车型2_20.99,车型3_20.99,车型4_22.99
座位数(个),5,5,5,5
感应雨刷功能,雨量感应式,雨量感应式,雨量感应式,雨量感应式
手机APP远程功能,车门控制 车窗控制 车辆启动 充电管理 车灯控制 空调控制 座椅 座椅通 车况查询/诊断 车辆定位/寻车 车主服务（查找、加油站、停车场等） 预约保养/维修,车门控制 车窗控制 车辆启动 充电管理 车灯控制 空调控制 座椅 座椅通 车况查询/诊断 车辆定位/寻车 车主服务（查找、加油站、停车场等） 预约保养/维修,车门控制 车窗控制 车辆启动 充电管理 车灯控制 空调控制 座椅 座椅通 车况查询/诊断 车辆定位/寻车 车主服务（查找、加油站、停车场等） 预约保养/维修,车门控制 车窗控制 车辆启动 充电管理 车灯控制 空调控制 座椅 座椅通 车况查询/诊断 车辆定位/寻车 车主服务（查找、加油站、停车场等） 预约保养/维修
手机互联/映射,支持CarPlay 支持HUAWEI HiCar 支持Carlink,支持CarPlay 支持HUAWEI HiCar 支持Carlink,支持CarPlay 支持HUAWEI HiCar 支持Carlink,支持CarPlay 支持HUAWEI HiCar 支持Carlink
手机无线充电功率,50W,50W,50W,50W
手机无线充电功能,排,排,排,排
换挡形式,电子式怀挡换挡,电子式怀挡换挡,电子式怀挡换挡,电子式怀挡换挡
排座椅功能,通 按摩,通 按摩,通 按摩,通 按摩
接近角(°),18,18,18,18
方向盘位置,手动+后,手动+后,手动+后,手动+后
显示屏幕,彩色,彩色,彩色,彩色
最大功率(kW),250,250,250,250
最大扭矩(N·m),430,430,430,430
最大满载(kg),2680,2680,2680,2680
最小转弯半径(m),5.6,5.6,5.6,5.6
最高车速(km/h),183,183,183,183
毫米波雷达数量,5个,5个,5个,5个
液晶仪表尺寸,8.8英寸,8.8英寸,8.8英寸,8.8英寸
激光雷达数量,-,1个,-,1个
电动座椅记忆功能,驾驶位 副驾驶位,驾驶位 副驾驶位,驾驶位 副驾驶位,驾驶位 副驾驶位
电动机(Ps),340,340,340,340
电动机总功率(kW),250,250,250,250
电动机总扭矩(N·m),430,430,430,430
电动机总马力(Ps),340,340,340,340
电机类型,/,/,/,/
电池冷却方式,液冷,液冷,液冷,液冷
电池能量(kWh),83.3,83.3,99.5,99.5
电能当量燃料消耗量(L/100km),1.45,1.45,1.48,1.48
电芯品牌,亿纬动力,亿纬动力,中创新航,中创新航
百公里耗(kWh/100km),12.8,12.8,13.1,13.1
离去角(°),23,23,23,23
空调温度控制方式,自动空调,自动空调,自动空调,自动空调
第二排座椅,靠背,靠背,靠背,靠背
经销商参考价,18.19万起,20.19万起,20.19万起,22.19万起
胎压监测功能,胎压显示,胎压显示,胎压显示,胎压显示
能源类型,纯电动,纯电动,纯电动,纯电动
语音分区域唤醒识别,四区域,四区域,四区域,四区域
语音助手唤醒词,你好，北鼻,你好，北鼻,你好，北鼻,你好，北鼻
语音识别控制系统,多媒体系统 航 空调,多媒体系统 航 空调,多媒体系统 航 空调,多媒体系统 航 空调
超声波雷达数量,12个,12个,12个,12个
车内化妆镜,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯
车内数量,2个,2个,2个,2个
车内环境氛围灯,多色,多色,多色,多色
车窗一键降功能,全车,全车,全车,全车
