param_name,车型1_41.87,车型2_45.97,车型3_60.47,车型4_47.97,车型5_49.77,车型6_65.62,车型7_66.62
变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT)
可变功能,-,-,软硬 高低,-,-,软硬 高低,软硬 高低
后备厢(L),384,384,384,384,384,384,384
后雨刷,-,-,-,-,-,-,-
外后视镜功能,电动 电动折叠 后视镜 倒车自动下翻 锁车自动折叠,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠 自动防眩目,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠 自动防眩目,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠 自动防眩目,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠 自动防眩目,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠 自动防眩目,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠 自动防眩目
多媒体/充电,Type-C,Type-C,Type-C,Type-C,Type-C,Type-C,Type-C
天窗类型,电动天窗,电动天窗,电动天窗,电动天窗,电动天窗,电动天窗,电动天窗
安全带未系提醒,排,排,排,排,排,排,排
官方0-100km/h加速(s),7.9,7.5,5.6,7.5,7.5,5.6,5.6
巡航系统,定速巡航,定速巡航 全速自应巡航,定速巡航 全速自应巡航,定速巡航 全速自应巡航,定速巡航 全速自应巡航,全速自应巡航,全速自应巡航
座位数(个),5,5,5,5,5,5,5
座椅形式,-,-,-,-,-,-,-
感应雨刷功能,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式
手机互联/映射,支持CarPlay,支持CarPlay,支持CarPlay,支持CarPlay,支持CarPlay,支持CarPlay,支持CarPlay
手机无线充电功能,排,排,排,-,-,-,-
换挡形式,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡
接近角(°),13,13,13,13,13,13,13
放置方式,后备厢内,后备厢内,后备厢内,后备厢内,后备厢内,后备厢内,后备厢内
方向盘位置,手动+后,手动+后 电动+后,手动+后 电动+后,手动+后,手动+后,手动+后,手动+后
显示屏幕,彩色,彩色,彩色,彩色,彩色,彩色,彩色
最大净功率(kW),180,180,250,180,180,250,250
最大功率(kW),180,180,250,180,180,250,250
最大功率转速(rpm),5000-6500,5000-6500,5000-6400,5000-6500,5000-6500,5000-6400,5000-6400
最大扭矩(N·m),370,370,500,370,370,500,500
最大扭矩转速(rpm),1600-4300,1600-4300,1370-4500,1600-4300,1600-4300,1370-4500,1370-4500
最大满载(kg),2335,2400,2480,2400,2400,2480,2480
最大马力(Ps),245,245,340,245,245,340,340
最小转弯半径(m),6.3,6.3,5.9,6.3,6.3,5.9,5.9
最高车速(km/h),208,208,208,208,208,208,208
每缸(个),4,4,4,4,4,4,4
液晶仪表尺寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸
激光雷达数量,-,-,-,-,-,1个,1个
灯光特色功能,矩阵式,矩阵式,矩阵式,矩阵式,矩阵式,矩阵式,矩阵式
环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动座椅记忆功能,-,驾驶位 副驾驶位,驾驶位 副驾驶位,驾驶位,驾驶位,驾驶位,驾驶位
离去角(°),15,15,17,15,15,17,17
空调温度控制方式,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调
第二排座椅,-,靠背,靠背,-,-,-,-
经销商参考价,31.70万起,35.20万起,53.97万起,37.20万起,38.80万起,46.97万起,55.42万起
胎压监测功能,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示
能源类型,汽油,汽油,汽油+48V轻混系统,汽油,汽油,汽油+48V轻混系统,汽油+48V轻混系统
语音识别控制系统,多媒体系统 航 空调,多媒体系统 航 空调,多媒体系统 航 空调,多媒体系统 航 空调,多媒体系统 航 空调,多媒体系统 航 空调,多媒体系统 航 空调
超声波雷达数量,12个,12个,12个,12个,12个,12个,12个
车内化妆镜,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯
车内环境氛围灯,30色,30色,30色,30色,30色,30色,30色
车窗一键降功能,全车,全车,全车,全车,全车,全车,全车
车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车载智能系统,Connect,Connect,Connect,Connect,Connect,Connect,Connect
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
辅助驾驶等级,-,L2,L2,L2,L2,L2,L2
进入功能,全车,全车,全车,全车,全车,全车,全车
钥匙类型,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙
长*宽*高(mm),5076*1908*1429,5076*1908*1429,5076*1908*1429,5076*1908*1429,5076*1908*1429,5076*1908*1429,5076*1908*1429
阻系数(Cd),-,-,-,-,-,-,-
驾驶辅助,倒车 360度全景,360度全景,360度全景,360度全景,360度全景,360度全景,360度全景
