param_name,2025款 卓越,2025款 境智行,2025款 标准,2025款 标准Ⅰ,2025款 行业,2025款 进阶,2026款 赤兔标准
最大爬坡度(%),100,100,100,100,100,100,100
最大马力(Ps),188,188,188,188,188,188,188
最小(mm),215,215,215,215,215,300,215
最高车速(km/h),170,170,170,170,170,170,170
每缸(个),4,4,4,4,4,4,4
毫米波雷达数量,1个,4个,1个,3个,-,3个,1个
油电燃料消耗量(L/100km),4.15,4.15,4.08,4.08,4.15,4.28,4.15
液晶仪表尺寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸
环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动座椅记忆功能,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位
电动机(Ps),548,548,548,548,548,548,548
电动机总功率(kW),403,403,403,403,403,403,403
电动机总扭矩(N·m),655,655,655,655,655,655,655
电动机总马力(Ps),548,548,548,548,548,548,548
电动机最大功率(kW),153,153,153,153,153,153,153
电机类型,/,/,/,/,/,/,/
电池(小时),0.5,0.5,0.5,0.5,0.5,0.5,0.5
电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池类型,三,三,三,三,三,三,三
电池能量(kWh),40.3,40.3,40.3,40.3,40.3,40.3,40.3
电池范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80
电芯品牌,中创新航,中创新航,中创新航,中创新航,中创新航,中创新航,中创新航
百公里耗(kWh/100km),23.8,23.8,23.7,23.7,23.8,24.3,23.8
离去角(°),37,37,37,37,37,37,37
空调温度控制方式,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调
第二排座椅,靠背,靠背,靠背,靠背,靠背,靠背,靠背
系统功率(Ps),548,548,548,548,548,548,548
系统功率(kW),403,403,403,403,403,403,403
系统扭矩(N·m),655,655,655,655,655,655,655
经销商参考价,17.98万起,19.98万起,17.98万起,20.48万起,23.18万起,27.98万起,26.98万起
胎压监测功能,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示
能源类型,增程式,增程式,增程式,增程式,增程式,增程式,增程式
语音分区域唤醒识别,双区域,双区域,双区域,双区域,双区域,双区域,双区域
语音识别控制系统,多媒体系统 航 空调 天窗 车窗 座椅 座椅通,多媒体系统 航 空调 天窗 车窗 座椅 座椅通 座椅按摩,多媒体系统 航 空调 天窗 车窗 座椅 座椅通,多媒体系统 航 空调 天窗 车窗 座椅 座椅通 座椅按摩,多媒体系统 航 空调 天窗 车窗 座椅 座椅通 座椅按摩,多媒体系统 航 空调 天窗 车窗 座椅 座椅通 座椅按摩,多媒体系统 航 空调 车窗 座椅 座椅通
超声波雷达数量,4个,12个,4个,12个,4个,12个,4个
车体结构,非,非,非,非,非,非,非
车内化妆镜,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯
车内环境氛围灯,单色,256色,单色,256色,单色,单色,单色
车机系统内存(GB),-,-,16,16,-,16,-
车机系统存储(GB),-,-,128,128,-,128,-
车窗一键降功能,全车,全车,全车,全车,全车,全车,全车
车身结构,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV
车载智能系统,BEIJING OS,BEIJING OS,BEIJING OS,BEIJING OS,BEIJING OS,BEIJING OS,BEIJING OS
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
轮距(mm),1620,1620,1620,1620,1620,1620,1620
辅助驾驶等级,L2,L2,L2,L2,L2,L2,L2
辅助驾驶系统,-,-,-,境智能辅助驾驶,-,境智能辅助驾驶,-
辅助驾驶路段,-,-,-,高速路段,-,高速路段,-
进入功能,排,排,排,排,排,排,排
钥匙类型,遥控钥匙,遥控钥匙 钥匙,遥控钥匙,遥控钥匙 钥匙,遥控钥匙,遥控钥匙 钥匙,遥控钥匙
长*宽*高(mm),4790*1940*1964,4790*1940*1964,4790*1940*1964,4790*1940*1964,4790*1940*1964,4861*2065*2110,4790*1940*1964
阻系数(Cd),-,-,-,-,-,-,-
零重力座椅,-,副驾驶,-,副驾驶,-,副驾驶,-
驱动方式,双电机四驱,双电机四驱,双电机四驱,双电机四驱,双电机四驱,双电机四驱,双电机四驱
驾驶辅助,360度全景,360度全景,360度全景,360度全景,360度全景,360度全景,360度全景
