param_name,车型1_15.38,车型2_16.98,车型3_13.38,车型4_13.98,车型5_14.98,车型6_15.38,车型7_16.38,车型8_17.78
最大扭矩(N·m),305,505,310,310,310,510,510,510
最大满载(kg),2480,2550,2370,2370,2370,2545,2545,2545
最高车速(km/h),210,210,201,201,201,201,201,201
毫米波雷达数量,3个,3个,5个,5个,5个,5个,5个,5个
液晶仪表尺寸,8.8英寸,8.8英寸,8.8英寸,8.8英寸,8.8英寸,8.8英寸,8.8英寸,8.8英寸
激光雷达数量,1个,1个,-,-,-,-,-,-
电动座椅记忆功能,-,驾驶位 副驾驶位,-,-,-,-,-,驾驶位
电动机(Ps),326,510,218,218,218,422,422,422
电动机品牌,-,弗迪动力,-,-,-,弗迪动力,弗迪动力,弗迪动力
电动机总功率(kW),240,375,160,160,160,310,310,310
电动机总扭矩(N·m),305,505,310,310,310,510,510,510
电动机总马力(Ps),326,510,218,218,218,422,422,422
电动机最大功率(kW),-,135,-,-,-,110,110,110
电动机最大扭矩(N·m),-,200,-,-,-,200,200,200
电机类型,/,/异步 后/,/,/,/,/异步 后/,/异步 后/,/异步 后/
电池(小时),0.15,0.15,0.3,0.3,0.3,0.3,0.3,0.3
电池冷却方式,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷
电池能量(kWh),75.6,75.6,65.28,65.28,65.28,72.96,72.96,72.96
电池范围(%),10-97,10-97,30-80,30-80,30-80,30-80,30-80,30-80
电能当量燃料消耗量(L/100km),1.58,1.74,1.65,1.65,1.65,1.92,1.92,2.08
百公里耗(kWh/100km),13.6,15,14.2,14.2,14.2,16.5,16.5,17.9
离去角(°),28,28,28,28,28,28,28,28
空调温度控制方式,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调
第二排座椅,-,-,-,-,-,-,-,-
经销商参考价,15.38万起,16.98万起,12.98万起,13.58万起,14.58万起,14.98万起,15.98万起,17.38万起
胎压监测功能,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
语音分区域唤醒识别,四区域,四区域,四区域,四区域,四区域,四区域,四区域,四区域
语音助手唤醒词,你好，小方,你好，小方,你好，小方,你好，小方,你好，小方,你好，小方,你好，小方,你好，小方
语音识别控制系统,多媒体系统 航 空调 座椅 座椅通,多媒体系统 航 空调 座椅 座椅通,多媒体系统 航 空调 天窗,多媒体系统 航 空调 天窗 座椅 座椅通,多媒体系统 航 空调 天窗 座椅 座椅通,多媒体系统 航 空调 天窗 座椅 座椅通,多媒体系统 航 空调 天窗 座椅 座椅通,多媒体系统 航 空调 座椅 座椅通
超声波雷达数量,12个,12个,12个,12个,12个,12个,12个,12个
车内化妆镜,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯
车内数量,1个,1个,-,-,1个,-,-,1个
车内环境氛围灯,多色,多色,-,多色,多色,多色,多色,多色
车窗一键降功能,全车,全车,全车,全车,全车,全车,全车,全车
车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车载智能系统,DiLink,DiLink,DiLink,DiLink,DiLink,DiLink,DiLink,DiLink
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
轮距(mm),1634,1634,1634,1634,1634,1634,1634,1634
辅助驾驶等级,L2,L2,L2,L2,L2,L2,L2,L2
辅助驾驶系统,DiPilot 100 DiPilot 300,DiPilot 100 DiPilot 300,DiPilot 100,DiPilot 100,DiPilot 100,DiPilot 100,DiPilot 100,DiPilot 100
辅助驾驶路段,路段 高速路段,路段 高速路段,高速路段,高速路段,高速路段,高速路段,高速路段,高速路段
进入功能,排,排,排,排,排,排,排,排
钥匙类型,遥控钥匙 钥匙 NFC/RFID钥匙,遥控钥匙 钥匙 NFC/RFID钥匙,遥控钥匙 钥匙 NFC/RFID钥匙,遥控钥匙 钥匙 NFC/RFID钥匙,遥控钥匙 钥匙 NFC/RFID钥匙,遥控钥匙 钥匙 NFC/RFID钥匙,遥控钥匙 钥匙 NFC/RFID钥匙,遥控钥匙 钥匙 NFC/RFID钥匙
长*宽*高(mm),4605*1900*1720,4605*1900*1720,4605*1900*1720,4605*1900*1720,4605*1900*1720,4605*1900*1720,4605*1900*1720,4605*1900*1720
阻系数(Cd),-,-,-,-,-,-,-,-
驾驶辅助,360度全景,360度全景,360度全景,360度全景,360度全景,360度全景,360度全景,360度全景
